consumer_id,psychographic_type,preference_style,budget_tier,budget_amount,skin_type,subcategory,brainfry_score
C073,LossAverse,utilitarian,mid,22649,combo,스킨,0.65
C074,LossAverse,utilitarian,mid,21680,oily,"로션,스킨",0.41
C075,LossAverse,utilitarian,mid,25461,all,쿠션,0.57
C076,LossAverse,utilitarian,mid,24547,oily,"로션,쿠션",0.61
C077,LossAverse,utilitarian,mid,21585,oily,"파운데이션,쿠션",0.56
C078,LossAverse,utilitarian,mid,19988,all,로션,0.64
C079,LossAverse,utilitarian,mid,28037,all,"파운데이션,샴푸",0.53
C080,LossAverse,utilitarian,mid,25373,combo,"파운데이션,로션",0.65
C081,LossAverse,utilitarian,mid,28268,oily,"마스크팩,바디워시",0.42
C082,LossAverse,utilitarian,mid,22451,combo,마스크팩,0.67
C083,LossAverse,utilitarian,mid,20471,oily,바디워시,0.61
C084,LossAverse,utilitarian,mid,24797,all,마스크팩,0.56
C085,LossAverse,utilitarian,mid,21388,all,바디워시,0.67
C086,LossAverse,utilitarian,mid,25814,dry,"마스크팩,파운데이션",0.63
C087,LossAverse,utilitarian,mid,25999,oily,마스크팩,0.53
C088,LossAverse,utilitarian,mid,23507,all,"쿠션,로션",0.65
C089,LossAverse,utilitarian,mid,24455,dry,스킨,0.59
C090,LossAverse,utilitarian,mid,20977,dry,"마스크팩,바디워시",0.5
C091,LossAverse,utilitarian,mid,23529,all,"마스크팩,바디워시",0.48
C092,LossAverse,utilitarian,mid,18317,dry,"마스크팩,로션",0.6
C093,LossAverse,utilitarian,mid,22051,oily,파운데이션,0.41
C094,LossAverse,utilitarian,mid,20068,all,쿠션,0.43
C095,LossAverse,utilitarian,mid,29460,combo,"파운데이션,마스크팩",0.45
C096,LossAverse,utilitarian,mid,23096,dry,샴푸,0.41
C097,LossAverse,utilitarian,mid,24498,oily,"스킨,샴푸",0.61
C098,LossAverse,utilitarian,mid,29422,combo,파운데이션,0.61
C099,LossAverse,utilitarian,mid,23688,all,쿠션,0.51
C100,LossAverse,utilitarian,mid,24882,all,스킨,0.53
C101,LossAverse,utilitarian,mid,29588,oily,"바디워시,로션",0.62
C102,Impulsive,utilitarian,high,47634,all,바디워시,0.76
C103,Impulsive,utilitarian,high,40561,oily,파운데이션,0.88
C104,Impulsive,utilitarian,mid,21995,all,샴푸,0.8
C105,Impulsive,utilitarian,mid,18470,all,파운데이션,0.73
C106,Impulsive,hedonic,mid,23813,combo,마스크팩,0.72
C107,Impulsive,utilitarian,high,30332,oily,스킨,0.71
C108,Impulsive,utilitarian,mid,27096,oily,쿠션,0.77
C109,Impulsive,utilitarian,high,44685,dry,스킨,0.72
C110,Impulsive,hedonic,mid,23016,combo,샴푸,0.79
C111,Impulsive,utilitarian,mid,27017,combo,마스크팩,0.83
C112,Impulsive,utilitarian,mid,22118,oily,스킨,0.83
C113,Impulsive,hedonic,mid,26779,oily,스킨,0.7
C114,Impulsive,utilitarian,mid,29871,combo,스킨,0.86
C115,Impulsive,hedonic,mid,23912,oily,로션,0.65
C116,Impulsive,hedonic,high,38988,dry,립틴트,0.79
C117,Impulsive,hedonic,high,46085,dry,립틴트,0.79
C118,Impulsive,utilitarian,mid,25216,combo,로션,0.89
C119,Impulsive,utilitarian,mid,19869,dry,바디워시,0.77
C120,Impulsive,hedonic,high,34971,oily,파운데이션,0.89
C121,Impulsive,hedonic,low,10970,all,스킨,0.84
C122,Impulsive,utilitarian,mid,25253,combo,파운데이션,0.8
C123,Impulsive,utilitarian,mid,27316,dry,샴푸,0.89
C124,Impulsive,hedonic,low,15124,oily,로션,0.82
C125,Impulsive,hedonic,low,11423,dry,하이라이터,0.65
C126,Impulsive,utilitarian,mid,22771,dry,로션,0.72
C127,Impulsive,utilitarian,mid,19166,oily,마스크팩,0.85
C128,Impulsive,hedonic,high,43930,dry,쿠션,0.71
C129,Impulsive,utilitarian,low,16771,oily,스킨,0.66
C130,Impulsive,utilitarian,mid,25195,dry,바디워시,0.82
C131,Impulsive,utilitarian,high,38920,all,바디워시,0.67
C132,Impulsive,utilitarian,low,16017,combo,샴푸,0.71
C133,Impulsive,hedonic,low,17879,dry,로션,0.79
C134,Impulsive,utilitarian,low,14251,all,마스크팩,0.7
C135,Hedonic,hedonic,high,32989,all,"마스크팩,바디워시",0.45
C136,Hedonic,hedonic,mid,23403,all,샴푸,0.44
C137,Hedonic,hedonic,high,44903,dry,마스크팩,0.43
C138,Hedonic,hedonic,mid,26431,dry,"쿠션,샴푸",0.47
C139,Hedonic,hedonic,mid,28201,all,"샴푸,립틴트",0.41
C140,Hedonic,hedonic,mid,25178,all,"블러셔,립틴트",0.64
C141,Hedonic,hedonic,mid,23091,dry,쿠션,0.47
C142,Hedonic,hedonic,mid,25560,dry,하이라이터,0.5
C143,Hedonic,hedonic,high,43614,all,"샴푸,스킨",0.49
C144,Hedonic,hedonic,mid,21122,oily,"블러셔,로션",0.58
C145,Hedonic,hedonic,high,46637,combo,"립틴트,로션",0.57
C146,Hedonic,hedonic,high,44632,all,마스크팩,0.45
C147,Hedonic,hedonic,high,40544,oily,"스킨,바디워시",0.42
C148,Hedonic,hedonic,high,40426,all,바디워시,0.47
C149,Hedonic,hedonic,mid,18606,oily,"쿠션,마스크팩",0.61
C150,Hedonic,hedonic,high,47234,all,립틴트,0.57
C151,Hedonic,hedonic,high,32451,all,로션,0.45
C152,Hedonic,hedonic,high,40766,all,마스크팩,0.54
C153,Hedonic,hedonic,high,32242,oily,로션,0.65
C154,Hedonic,hedonic,mid,19612,dry,"샴푸,하이라이터",0.56
C155,Hedonic,hedonic,mid,23314,dry,로션,0.46
C156,Hedonic,hedonic,high,38001,all,파운데이션,0.55
C157,Hedonic,hedonic,mid,20868,dry,파운데이션,0.61
C158,Hedonic,hedonic,mid,27554,oily,"스킨,샴푸",0.54
C159,Hedonic,hedonic,high,30307,all,"로션,쿠션",0.4
C160,Hedonic,hedonic,high,39802,all,"로션,샴푸",0.6
C161,Hedonic,hedonic,mid,25916,dry,"스킨,바디워시",0.52
C162,Hedonic,hedonic,high,30718,all,"로션,립틴트",0.52
C163,Hedonic,hedonic,mid,22689,oily,"파운데이션,마스크팩",0.42
C164,Hedonic,hedonic,mid,29104,oily,"블러셔,립틴트",0.44
C165,Hedonic,hedonic,high,41955,oily,블러셔,0.62
C166,Hedonic,hedonic,high,35755,oily,"하이라이터,쿠션",0.61
C167,Hedonic,hedonic,high,35391,combo,"샴푸,로션",0.57
C168,Utilitarian,utilitarian,mid,25673,dry,로션,0.43
C169,Utilitarian,utilitarian,low,17923,combo,"스킨,바디워시",0.2
C170,Utilitarian,utilitarian,high,44902,combo,쿠션,0.42
C171,Utilitarian,utilitarian,mid,28461,combo,"스킨,쿠션",0.27
C172,Utilitarian,utilitarian,low,17497,oily,"스킨,바디워시",0.47
C173,Utilitarian,utilitarian,mid,19911,oily,"스킨,파운데이션",0.29
C174,Utilitarian,utilitarian,mid,19592,oily,샴푸,0.24
C175,Utilitarian,utilitarian,mid,28985,all,"샴푸,쿠션",0.42
C176,Utilitarian,utilitarian,mid,26017,all,마스크팩,0.21
C177,Utilitarian,utilitarian,mid,25264,all,로션,0.46
C178,Utilitarian,utilitarian,low,14460,combo,"스킨,바디워시",0.28
C179,Utilitarian,utilitarian,low,10750,oily,"샴푸,스킨",0.22
C180,Utilitarian,utilitarian,mid,20063,oily,스킨,0.45
C181,Utilitarian,utilitarian,high,37076,oily,마스크팩,0.43
C182,Utilitarian,utilitarian,high,39085,oily,로션,0.36
C183,Utilitarian,utilitarian,low,15415,dry,로션,0.2
C184,Utilitarian,utilitarian,low,10129,oily,"마스크팩,스킨",0.24
C185,Utilitarian,utilitarian,mid,19041,all,바디워시,0.43
C186,Utilitarian,utilitarian,high,44811,oily,샴푸,0.21
C187,Utilitarian,utilitarian,high,45009,dry,"스킨,바디워시",0.45
C188,Utilitarian,utilitarian,mid,26032,all,스킨,0.47
C189,Utilitarian,utilitarian,mid,19076,oily,마스크팩,0.39
C190,Utilitarian,utilitarian,high,42481,combo,"바디워시,샴푸",0.38
C191,Utilitarian,utilitarian,low,16986,oily,바디워시,0.34
C192,Utilitarian,utilitarian,low,12776,all,"바디워시,샴푸",0.42
C193,Utilitarian,utilitarian,mid,23120,combo,"마스크팩,로션",0.41
C194,Utilitarian,utilitarian,mid,19494,dry,스킨,0.33
C195,Utilitarian,utilitarian,high,34263,dry,"샴푸,파운데이션",0.37
C196,Utilitarian,utilitarian,high,43461,combo,파운데이션,0.4
C197,Utilitarian,utilitarian,mid,22712,combo,마스크팩,0.23
C198,Utilitarian,utilitarian,high,35070,all,로션,0.45
C199,Utilitarian,utilitarian,mid,19882,combo,"샴푸,로션",0.44
C200,Utilitarian,utilitarian,high,38763,dry,로션,0.28
