consumer_id,psychographic_type,brainfry_score,n_recommended,product_id,product_name,brand,price,star_rating,rank_position,critic_iterations
C017,Maximizer,0.58,3,P0401,퍼퓸드 샴푸,라네즈,32000,4.7,3,2
C018,Maximizer,0.75,2,P0311,퍼펙트 커버 파운데이션,미샤,19000,4.4,1,2
C018,Maximizer,0.75,2,P0339,라이트 파운데이션,에뛰드,20000,4.3,2,2
C019,Maximizer,0.84,1,P0446,갈락토 샴푸,코스알엑스,22000,4.5,1,2
C020,Maximizer,0.74,2,P0324,시카 파운데이션,코스알엑스,27000,4.6,1,2
C020,Maximizer,0.74,2,P0318,글로우 파운데이션 2호,롬앤,24000,4.5,2,2
C021,Maximizer,0.84,1,P0486,클렌징 바디워시,코스알엑스,19500,4.5,1,2
C022,Maximizer,0.74,2,P0335,리얼 스킨 파운데이션,바이오힐보,43000,4.8,1,2
C022,Maximizer,0.74,2,P0303,워터 슬리핑 파운데이션,라네즈,40000,4.7,2,2
C023,Maximizer,0.84,1,P0403,더마 스칼프 샴푸,닥터지,22000,4.6,1,1
C024,Maximizer,0.81,1,P0043,리들샷 200 스킨,VT코스메틱,26000,4.7,1,1
C025,Maximizer,0.83,1,P0403,더마 스칼프 샴푸,닥터지,22000,4.6,1,1
C026,Maximizer,0.69,2,P0088,갈락토 에센스 로션,미샤,17000,4.4,1,1
C026,Maximizer,0.69,2,P0072,프로폴리스 로션,미샤,18000,4.4,2,1
C027,Maximizer,0.78,2,P0073,리들샷 로션,VT코스메틱,25000,4.7,1,2
C027,Maximizer,0.78,2,P0078,비타민 로션,조선미녀,22000,4.5,2,2
C028,Maximizer,0.69,2,P0474,시카 바디워시,코스알엑스,19000,4.6,1,2
C028,Maximizer,0.69,2,P0479,로즈 바디워시,이니스프리,18000,4.5,2,2
C029,Maximizer,0.73,2,P0005,라이스 워터 브라이트 스킨,조선미녀,18000,4.6,1,1
C029,Maximizer,0.73,2,P0014,시카 리페어 스킨,닥터지,19000,4.5,2,1
C030,Maximizer,0.74,2,P0265,에어 핏 쿠션,에뛰드,18000,4.3,1,1
C030,Maximizer,0.74,2,P0287,데일리 쿠션,에뛰드,18000,4.2,2,1
C031,Maximizer,0.7,2,P0005,라이스 워터 브라이트 스킨,조선미녀,18000,4.6,1,1
C031,Maximizer,0.7,2,P0042,판테놀 수딩 스킨,코스알엑스,18500,4.5,2,1
C032,Maximizer,0.72,2,P0271,킬 커버 더 뉴 쿠션 SPF50+,클리오,34000,4.8,1,2
C032,Maximizer,0.72,2,P0279,글로우 쿠션,롬앤,26000,4.5,2,2
C033,Maximizer,0.75,2,P0035,리들샷 100 스킨,VT코스메틱,23000,4.7,1,2
C033,Maximizer,0.75,2,P0005,라이스 워터 브라이트 스킨,조선미녀,18000,4.6,2,2
C034,Maximizer,0.57,3,P0335,리얼 스킨 파운데이션,바이오힐보,43000,4.8,1,2
C034,Maximizer,0.57,3,P0321,킬 커버 글로우 파운데이션,클리오,34000,4.8,2,2
C034,Maximizer,0.57,3,P0318,글로우 파운데이션 2호,롬앤,24000,4.5,3,2
C035,ValueSeeker,0.32,5,P0046,알로에 스킨,이니스프리,13000,4.3,1,1
C035,ValueSeeker,0.32,5,P0026,수분 토닝 스킨,에뛰드,8500,4.2,2,1
C035,ValueSeeker,0.32,5,P0040,순한 pH 스킨,에뛰드,7900,4.2,3,1
C035,ValueSeeker,0.32,5,P0012,순수 스킨,에뛰드,8900,4.2,4,1
C036,ValueSeeker,0.39,4,P0070,데일리 로션,어노브,8800,4.3,1,1
C036,ValueSeeker,0.39,4,P0084,선물같은 로션,에뛰드,11000,4.3,2,1
C036,ValueSeeker,0.39,4,P0091,데일리 촉촉 로션,에뛰드,9500,4.2,3,1
C036,ValueSeeker,0.39,4,P0089,클린 로션,에뛰드,9000,4.2,4,1
C037,ValueSeeker,0.54,3,P0024,프로폴리스 스킨,미샤,16000,4.4,1,1
C037,ValueSeeker,0.54,3,P0046,알로에 스킨,이니스프리,13000,4.3,2,1
C037,ValueSeeker,0.54,3,P0010,보리지 스킨,어노브,9800,4.3,3,1
C038,ValueSeeker,0.31,5,P0468,모이스처 바디워시,미샤,11500,4.3,1,1
C038,ValueSeeker,0.31,5,P0489,모이스처 바디워시,미샤,11500,4.3,2,1
C038,ValueSeeker,0.31,5,P0457,릴렉싱 바디워시,미샤,11000,4.3,3,1
C038,ValueSeeker,0.31,5,P0481,라벤더 바디워시,에뛰드,11000,4.3,4,1
C038,ValueSeeker,0.31,5,P0487,내추럴 바디워시,어노브,11000,4.2,5,1
C039,ValueSeeker,0.55,3,P0005,라이스 워터 브라이트 스킨,조선미녀,18000,4.6,1,1
C039,ValueSeeker,0.55,3,P0036,비타민 스킨,닥터지,19500,4.5,2,1
C039,ValueSeeker,0.55,3,P0048,라이스 스킨,조선미녀,18500,4.5,3,1
C040,ValueSeeker,0.55,3,P0270,글로우 쿠션 리필,이니스프리,22000,4.5,1,2
C040,ValueSeeker,0.55,3,P0291,내추럴 쿠션,미샤,22000,4.4,2,2
C040,ValueSeeker,0.55,3,P0256,프레시 팝 쿠션,에뛰드,19000,4.3,3,2
C041,ValueSeeker,0.54,3,P0051,시카 로션,코스알엑스,21000,4.7,1,2
C041,ValueSeeker,0.54,3,P0063,그린티 밸런싱 로션,이니스프리,21000,4.5,2,2
C041,ValueSeeker,0.54,3,P0072,프로폴리스 로션,미샤,18000,4.4,3,2
C042,ValueSeeker,0.4,4,P0422,어성초 두피 샴푸,아누아,21000,4.6,1,2
C043,ValueSeeker,0.27,5,P0088,갈락토 에센스 로션,미샤,17000,4.4,1,2
C043,ValueSeeker,0.27,5,P0095,영양 로션,미샤,17000,4.4,2,2
C043,ValueSeeker,0.27,5,P0064,퍼펙트 화이트닝 로션,미샤,14000,4.3,3,2
C043,ValueSeeker,0.27,5,P0086,리얼 베리어 로션,어노브,10500,4.3,4,2
C043,ValueSeeker,0.27,5,P0084,선물같은 로션,에뛰드,11000,4.3,5,2
C044,ValueSeeker,0.32,5,P0435,내추럴 샴푸,에뛰드,13000,4.2,1,2
C044,ValueSeeker,0.32,5,P0404,어성초 두피 샴푸,아누아,19000,4.6,2,2
C045,ValueSeeker,0.31,5,P0123,콜라겐 마스크팩,바이오힐보,7000,4.8,1,2
C045,ValueSeeker,0.31,5,P0138,콜라겐 앰플 마스크팩,바이오힐보,6500,4.7,2,2
C045,ValueSeeker,0.31,5,P0115,황금 앰플 마스크팩,바이오힐보,6000,4.7,3,2
C045,ValueSeeker,0.31,5,P0148,리페어 마스크팩,바이오힐보,6000,4.7,4,2
C045,ValueSeeker,0.31,5,P0113,비타민 C 마스크팩,조선미녀,3200,4.6,5,2
C046,ValueSeeker,0.45,4,P0097,갈락토 로션,코스알엑스,20000,4.5,1,1
C046,ValueSeeker,0.45,4,P0078,비타민 로션,조선미녀,22000,4.5,2,1
C046,ValueSeeker,0.45,4,P0088,갈락토 에센스 로션,미샤,17000,4.4,3,1
C046,ValueSeeker,0.45,4,P0072,프로폴리스 로션,미샤,18000,4.4,4,1
C047,ValueSeeker,0.44,4,P0035,리들샷 100 스킨,VT코스메틱,23000,4.7,1,1
C047,ValueSeeker,0.44,4,P0006,히알루론 스킨,토리든,21000,4.7,2,1
C047,ValueSeeker,0.44,4,P0033,세라마이드 스킨,토리든,22000,4.6,3,1
C047,ValueSeeker,0.44,4,P0005,라이스 워터 브라이트 스킨,조선미녀,18000,4.6,4,1
C048,ValueSeeker,0.33,5,P0440,쿨 민트 샴푸,코스알엑스,13500,4.3,1,1
C048,ValueSeeker,0.33,5,P0407,클렌징 샴푸,미샤,12000,4.3,2,1
C048,ValueSeeker,0.33,5,P0442,클린 스칼프 샴푸,에뛰드,12000,4.2,3,1
C048,ValueSeeker,0.33,5,P0410,쿨링 두피 샴푸,어노브,11000,4.2,4,1
C048,ValueSeeker,0.33,5,P0435,내추럴 샴푸,에뛰드,13000,4.2,5,1
C049,ValueSeeker,0.3,5,P0123,콜라겐 마스크팩,바이오힐보,7000,4.8,1,2
C049,ValueSeeker,0.3,5,P0138,콜라겐 앰플 마스크팩,바이오힐보,6500,4.7,2,2
C049,ValueSeeker,0.3,5,P0115,황금 앰플 마스크팩,바이오힐보,6000,4.7,3,2
C049,ValueSeeker,0.3,5,P0148,리페어 마스크팩,바이오힐보,6000,4.7,4,2
C049,ValueSeeker,0.3,5,P0113,비타민 C 마스크팩,조선미녀,3200,4.6,5,2
C050,ValueSeeker,0.28,5,P0273,시카페어 쿠션 2호,코스알엑스,28000,4.7,1,2
C050,ValueSeeker,0.28,5,P0299,선케어 쿠션,코스알엑스,28000,4.6,2,2
C050,ValueSeeker,0.28,5,P0262,시카페어 쿠션 SPF50,코스알엑스,27000,4.7,3,2
C050,ValueSeeker,0.28,5,P0288,리얼 커버 쿠션,클리오,27000,4.6,4,2
C050,ValueSeeker,0.28,5,P0279,글로우 쿠션,롬앤,26000,4.5,5,2
C051,ValueSeeker,0.33,5,P0422,어성초 두피 샴푸,아누아,21000,4.6,1,2
C052,ValueSeeker,0.33,5,P0418,생강 탈모 샴푸,미샤,16000,4.4,1,2
C053,ValueSeeker,0.26,5,P0123,콜라겐 마스크팩,바이오힐보,7000,4.8,1,2
C053,ValueSeeker,0.26,5,P0138,콜라겐 앰플 마스크팩,바이오힐보,6500,4.7,2,2
C053,ValueSeeker,0.26,5,P0115,황금 앰플 마스크팩,바이오힐보,6000,4.7,3,2
C053,ValueSeeker,0.26,5,P0148,리페어 마스크팩,바이오힐보,6000,4.7,4,2
C053,ValueSeeker,0.26,5,P0113,비타민 C 마스크팩,조선미녀,3200,4.6,5,2
C054,ValueSeeker,0.47,4,P0071,어성초 로션,아누아,26000,4.7,1,2
C054,ValueSeeker,0.47,4,P0073,리들샷 로션,VT코스메틱,25000,4.7,2,2
C054,ValueSeeker,0.47,4,P0051,시카 로션,코스알엑스,21000,4.7,3,2
C054,ValueSeeker,0.47,4,P0078,비타민 로션,조선미녀,22000,4.5,4,2
C055,ValueSeeker,0.52,3,P0287,데일리 쿠션,에뛰드,18000,4.2,1,2
C055,ValueSeeker,0.52,3,P0256,프레시 팝 쿠션,에뛰드,19000,4.3,2,2
C055,ValueSeeker,0.52,3,P0274,에어핏 쿠션,에뛰드,19000,4.3,3,2
C056,ValueSeeker,0.26,5,P0468,모이스처 바디워시,미샤,11500,4.3,1,1
C056,ValueSeeker,0.26,5,P0489,모이스처 바디워시,미샤,11500,4.3,2,1
C056,ValueSeeker,0.26,5,P0457,릴렉싱 바디워시,미샤,11000,4.3,3,1
C056,ValueSeeker,0.26,5,P0481,라벤더 바디워시,에뛰드,11000,4.3,4,1
C056,ValueSeeker,0.26,5,P0487,내추럴 바디워시,어노브,11000,4.2,5,1
C057,ValueSeeker,0.32,5,P0264,라이스 쿠션,조선미녀,23000,4.6,1,1
C057,ValueSeeker,0.32,5,P0270,글로우 쿠션 리필,이니스프리,22000,4.5,2,1
C057,ValueSeeker,0.32,5,P0290,내추럴 글로우 쿠션,조선미녀,23000,4.5,3,1
C057,ValueSeeker,0.32,5,P0277,퍼펙트 커버 쿠션,미샤,23000,4.4,4,1
C057,ValueSeeker,0.32,5,P0291,내추럴 쿠션,미샤,22000,4.4,5,1
C058,ValueSeeker,0.53,3,P0418,생강 탈모 샴푸,미샤,16000,4.4,1,2
C058,ValueSeeker,0.53,3,P0435,내추럴 샴푸,에뛰드,13000,4.2,2,2
C059,ValueSeeker,0.26,5,P0491,그린티 바디워시,이니스프리,17500,4.5,1,2
C059,ValueSeeker,0.26,5,P0454,어성초 바디워시,아누아,17000,4.5,2,2
C059,ValueSeeker,0.26,5,P0472,그린티 바디워시,이니스프리,17000,4.5,3,2
C059,ValueSeeker,0.26,5,P0496,어성초 바디워시,조선미녀,16500,4.5,4,2
C059,ValueSeeker,0.26,5,P0462,유자 바디워시,이니스프리,17000,4.5,5,2
C060,ValueSeeker,0.49,4,P0123,콜라겐 마스크팩,바이오힐보,7000,4.8,1,2
C060,ValueSeeker,0.49,4,P0138,콜라겐 앰플 마스크팩,바이오힐보,6500,4.7,2,2
C060,ValueSeeker,0.49,4,P0115,황금 앰플 마스크팩,바이오힐보,6000,4.7,3,2
C060,ValueSeeker,0.49,4,P0113,비타민 C 마스크팩,조선미녀,3200,4.6,4,2
C061,ValueSeeker,0.31,5,P0472,그린티 바디워시,이니스프리,17000,4.5,1,1
C061,ValueSeeker,0.31,5,P0452,그린티 바디워시,이니스프리,16000,4.5,2,1
C061,ValueSeeker,0.31,5,P0462,유자 바디워시,이니스프리,17000,4.5,3,1
C061,ValueSeeker,0.31,5,P0484,비타민 C 바디워시,조선미녀,17000,4.5,4,1
C061,ValueSeeker,0.31,5,P0463,라이스 브라이트닝 바디워시,조선미녀,16500,4.5,5,1
C062,ValueSeeker,0.45,4,P0054,그린티 씨드 로션,이니스프리,23000,4.6,1,2
C062,ValueSeeker,0.45,4,P0098,어성초 로션,아누아,23000,4.6,2,2
C062,ValueSeeker,0.45,4,P0062,어성초 77 로션,아누아,19800,4.7,3,2
C062,ValueSeeker,0.45,4,P0078,비타민 로션,조선미녀,22000,4.5,4,2
C063,ValueSeeker,0.36,4,P0306,라이스 파운데이션,조선미녀,21000,4.6,1,1
C063,ValueSeeker,0.36,4,P0314,세라마이드 파운데이션 리필,토리든,21000,4.5,2,1
C063,ValueSeeker,0.36,4,P0326,라이스 파운데이션,조선미녀,22000,4.5,3,1
C063,ValueSeeker,0.36,4,P0350,빈티지 로즈 파운데이션,조선미녀,21000,4.5,4,1
C064,ValueSeeker,0.42,4,P0123,콜라겐 마스크팩,바이오힐보,7000,4.8,1,2
C064,ValueSeeker,0.42,4,P0138,콜라겐 앰플 마스크팩,바이오힐보,6500,4.7,2,2
C064,ValueSeeker,0.42,4,P0115,황금 앰플 마스크팩,바이오힐보,6000,4.7,3,2
C064,ValueSeeker,0.42,4,P0144,수분 앰플 마스크팩,라네즈,5500,4.7,4,2
C065,ValueSeeker,0.47,4,P0123,콜라겐 마스크팩,바이오힐보,7000,4.8,1,2
C065,ValueSeeker,0.47,4,P0138,콜라겐 앰플 마스크팩,바이오힐보,6500,4.7,2,2
C065,ValueSeeker,0.47,4,P0115,황금 앰플 마스크팩,바이오힐보,6000,4.7,3,2
C065,ValueSeeker,0.47,4,P0113,비타민 C 마스크팩,조선미녀,3200,4.6,4,2
C066,ValueSeeker,0.31,5,P0499,로즈워터 바디워시,라네즈,27000,4.7,1,1
C066,ValueSeeker,0.31,5,P0478,세라마이드 바디워시,토리든,19000,4.6,2,1
C066,ValueSeeker,0.31,5,P0465,딥 수분 바디워시,토리든,18500,4.6,3,1
C066,ValueSeeker,0.31,5,P0459,수분 바디워시,토리든,17500,4.6,4,1
C066,ValueSeeker,0.31,5,P0456,더마 바디워시,닥터지,19000,4.5,5,1
C067,ValueSeeker,0.27,5,P0123,콜라겐 마스크팩,바이오힐보,7000,4.8,1,2
C067,ValueSeeker,0.27,5,P0138,콜라겐 앰플 마스크팩,바이오힐보,6500,4.7,2,2
C067,ValueSeeker,0.27,5,P0115,황금 앰플 마스크팩,바이오힐보,6000,4.7,3,2
C067,ValueSeeker,0.27,5,P0148,리페어 마스크팩,바이오힐보,6000,4.7,4,2
C067,ValueSeeker,0.27,5,P0113,비타민 C 마스크팩,조선미녀,3200,4.6,5,2
C068,ValueSeeker,0.4,4,P0259,세라마이드 쿠션,토리든,28000,4.6,1,2
C068,ValueSeeker,0.4,4,P0261,세라마이드 쿠션 2호,토리든,28000,4.6,2,2
C068,ValueSeeker,0.4,4,P0299,선케어 쿠션,코스알엑스,28000,4.6,3,2
C068,ValueSeeker,0.4,4,P0279,글로우 쿠션,롬앤,26000,4.5,4,2
C069,LossAverse,0.46,4,P0411,라이스 워터 샴푸,조선미녀,18500,4.6,1,1
C069,LossAverse,0.46,4,P0424,시카 두피 샴푸,코스알엑스,23000,4.5,2,1
C069,LossAverse,0.46,4,P0412,시카 두피 샴푸,코스알엑스,22500,4.5,3,1
C069,LossAverse,0.46,4,P0446,갈락토 샴푸,코스알엑스,22000,4.5,4,1
C070,LossAverse,0.56,3,P0474,시카 바디워시,코스알엑스,19000,4.6,1,2
C070,LossAverse,0.56,3,P0451,퍼퓸드 바디워시,라네즈,28000,4.8,2,2
C070,LossAverse,0.56,3,P0492,라벤더 릴렉싱 바디워시,라네즈,28000,4.7,3,2
C071,LossAverse,0.58,3,P0486,클렌징 바디워시,코스알엑스,19500,4.5,1,2
C071,LossAverse,0.58,3,P0471,어성초 바디워시,아누아,18000,4.6,2,2
C071,LossAverse,0.58,3,P0479,로즈 바디워시,이니스프리,18000,4.5,3,2
C072,LossAverse,0.55,3,P0277,퍼펙트 커버 쿠션,미샤,23000,4.4,1,2
C072,LossAverse,0.55,3,P0276,라이스 브라이트닝 쿠션,조선미녀,24000,4.6,2,2
C072,LossAverse,0.55,3,P0298,브라이트 쿠션,조선미녀,24000,4.6,3,2
C073,LossAverse,0.65,2,P0031,마데카소사이드 스킨,아누아,21000,4.6,1,1
C073,LossAverse,0.65,2,P0005,라이스 워터 브라이트 스킨,조선미녀,18000,4.6,2,1
C074,LossAverse,0.41,4,P0096,라이트 로션,이니스프리,21000,4.5,1,2
C074,LossAverse,0.41,4,P0062,어성초 77 로션,아누아,19800,4.7,2,2
C074,LossAverse,0.41,4,P0097,갈락토 로션,코스알엑스,20000,4.5,3,2
C074,LossAverse,0.41,4,P0072,프로폴리스 로션,미샤,18000,4.4,4,2
C075,LossAverse,0.57,3,P0277,퍼펙트 커버 쿠션,미샤,23000,4.4,1,2
C075,LossAverse,0.57,3,P0276,라이스 브라이트닝 쿠션,조선미녀,24000,4.6,2,2
C075,LossAverse,0.57,3,P0298,브라이트 쿠션,조선미녀,24000,4.6,3,2
C076,LossAverse,0.61,3,P0054,그린티 씨드 로션,이니스프리,23000,4.6,1,2
C076,LossAverse,0.61,3,P0062,어성초 77 로션,아누아,19800,4.7,2,2
C076,LossAverse,0.61,3,P0078,비타민 로션,조선미녀,22000,4.5,3,2
C077,LossAverse,0.56,3,P0306,라이스 파운데이션,조선미녀,21000,4.6,1,1
C077,LossAverse,0.56,3,P0350,빈티지 로즈 파운데이션,조선미녀,21000,4.5,2,1
C077,LossAverse,0.56,3,P0311,퍼펙트 커버 파운데이션,미샤,19000,4.4,3,1
C078,LossAverse,0.64,3,P0088,갈락토 에센스 로션,미샤,17000,4.4,1,1
C078,LossAverse,0.64,3,P0072,프로폴리스 로션,미샤,18000,4.4,2,1
C078,LossAverse,0.64,3,P0064,퍼펙트 화이트닝 로션,미샤,14000,4.3,3,1
C079,LossAverse,0.53,3,P0316,어드밴스드 파운데이션,닥터지,26000,4.6,1,1
C079,LossAverse,0.53,3,P0345,슬림핏 파운데이션,클리오,25000,4.6,2,1
C079,LossAverse,0.53,3,P0306,라이스 파운데이션,조선미녀,21000,4.6,3,1
C080,LossAverse,0.65,2,P0345,슬림핏 파운데이션,클리오,25000,4.6,1,2
C080,LossAverse,0.65,2,P0318,글로우 파운데이션 2호,롬앤,24000,4.5,2,2
C081,LossAverse,0.42,4,P0123,콜라겐 마스크팩,바이오힐보,7000,4.8,1,2
C081,LossAverse,0.42,4,P0138,콜라겐 앰플 마스크팩,바이오힐보,6500,4.7,2,2
C081,LossAverse,0.42,4,P0115,황금 앰플 마스크팩,바이오힐보,6000,4.7,3,2
C081,LossAverse,0.42,4,P0113,비타민 C 마스크팩,조선미녀,3200,4.6,4,2
C082,LossAverse,0.67,2,P0123,콜라겐 마스크팩,바이오힐보,7000,4.8,1,2
C082,LossAverse,0.67,2,P0113,비타민 C 마스크팩,조선미녀,3200,4.6,2,2
C083,LossAverse,0.61,3,P0486,클렌징 바디워시,코스알엑스,19500,4.5,1,2
C083,LossAverse,0.61,3,P0471,어성초 바디워시,아누아,18000,4.6,2,2
C083,LossAverse,0.61,3,P0479,로즈 바디워시,이니스프리,18000,4.5,3,2
C084,LossAverse,0.56,3,P0123,콜라겐 마스크팩,바이오힐보,7000,4.8,1,2
C084,LossAverse,0.56,3,P0138,콜라겐 앰플 마스크팩,바이오힐보,6500,4.7,2,2
C084,LossAverse,0.56,3,P0113,비타민 C 마스크팩,조선미녀,3200,4.6,3,2
C085,LossAverse,0.67,2,P0456,더마 바디워시,닥터지,19000,4.5,1,2
C085,LossAverse,0.67,2,P0479,로즈 바디워시,이니스프리,18000,4.5,2,2
C086,LossAverse,0.63,3,P0123,콜라겐 마스크팩,바이오힐보,7000,4.8,1,2
C086,LossAverse,0.63,3,P0138,콜라겐 앰플 마스크팩,바이오힐보,6500,4.7,2,2
C086,LossAverse,0.63,3,P0144,수분 앰플 마스크팩,라네즈,5500,4.7,3,2
C087,LossAverse,0.53,3,P0123,콜라겐 마스크팩,바이오힐보,7000,4.8,1,2
C087,LossAverse,0.53,3,P0138,콜라겐 앰플 마스크팩,바이오힐보,6500,4.7,2,2
C087,LossAverse,0.53,3,P0113,비타민 C 마스크팩,조선미녀,3200,4.6,3,2
C088,LossAverse,0.65,2,P0264,라이스 쿠션,조선미녀,23000,4.6,1,1
C088,LossAverse,0.65,2,P0270,글로우 쿠션 리필,이니스프리,22000,4.5,2,1
C089,LossAverse,0.59,3,P0016,스네일 96 뮤신 파워 스킨,코스알엑스,24000,4.7,1,2
C089,LossAverse,0.59,3,P0035,리들샷 100 스킨,VT코스메틱,23000,4.7,2,2
C089,LossAverse,0.59,3,P0005,라이스 워터 브라이트 스킨,조선미녀,18000,4.6,3,2
C090,LossAverse,0.5,4,P0123,콜라겐 마스크팩,바이오힐보,7000,4.8,1,2
C090,LossAverse,0.5,4,P0138,콜라겐 앰플 마스크팩,바이오힐보,6500,4.7,2,2
C090,LossAverse,0.5,4,P0115,황금 앰플 마스크팩,바이오힐보,6000,4.7,3,2
C090,LossAverse,0.5,4,P0144,수분 앰플 마스크팩,라네즈,5500,4.7,4,2
C091,LossAverse,0.48,4,P0123,콜라겐 마스크팩,바이오힐보,7000,4.8,1,2
C091,LossAverse,0.48,4,P0138,콜라겐 앰플 마스크팩,바이오힐보,6500,4.7,2,2
C091,LossAverse,0.48,4,P0115,황금 앰플 마스크팩,바이오힐보,6000,4.7,3,2
C091,LossAverse,0.48,4,P0113,비타민 C 마스크팩,조선미녀,3200,4.6,4,2
C092,LossAverse,0.6,3,P0123,콜라겐 마스크팩,바이오힐보,7000,4.8,1,2
C092,LossAverse,0.6,3,P0138,콜라겐 앰플 마스크팩,바이오힐보,6500,4.7,2,2
C092,LossAverse,0.6,3,P0144,수분 앰플 마스크팩,라네즈,5500,4.7,3,2
C093,LossAverse,0.41,4,P0306,라이스 파운데이션,조선미녀,21000,4.6,1,1
C093,LossAverse,0.41,4,P0305,그린티 씨드 파운데이션,이니스프리,22000,4.5,2,1
C093,LossAverse,0.41,4,P0326,라이스 파운데이션,조선미녀,22000,4.5,3,1
C093,LossAverse,0.41,4,P0350,빈티지 로즈 파운데이션,조선미녀,21000,4.5,4,1
C094,LossAverse,0.43,4,P0287,데일리 쿠션,에뛰드,18000,4.2,1,2
C094,LossAverse,0.43,4,P0256,프레시 팝 쿠션,에뛰드,19000,4.3,2,2
C094,LossAverse,0.43,4,P0274,에어핏 쿠션,에뛰드,19000,4.3,3,2
C094,LossAverse,0.43,4,P0295,라이트 쿠션,에뛰드,18500,4.3,4,2
C095,LossAverse,0.45,4,P0324,시카 파운데이션,코스알엑스,27000,4.6,1,2
C095,LossAverse,0.45,4,P0316,어드밴스드 파운데이션,닥터지,26000,4.6,2,2
C095,LossAverse,0.45,4,P0345,슬림핏 파운데이션,클리오,25000,4.6,3,2
C095,LossAverse,0.45,4,P0318,글로우 파운데이션 2호,롬앤,24000,4.5,4,2
C096,LossAverse,0.41,4,P0416,히알루론 두피 샴푸,토리든,22000,4.6,1,1
C096,LossAverse,0.41,4,P0431,세라마이드 샴푸,토리든,21000,4.6,2,1
C096,LossAverse,0.41,4,P0411,라이스 워터 샴푸,조선미녀,18500,4.6,3,1
C096,LossAverse,0.41,4,P0426,히알루론 두피 샴푸,토리든,22000,4.5,4,1
C097,LossAverse,0.61,3,P0021,어성초 스킨,아누아,24000,4.6,1,2
C097,LossAverse,0.61,3,P0035,리들샷 100 스킨,VT코스메틱,23000,4.7,2,2
C097,LossAverse,0.61,3,P0005,라이스 워터 브라이트 스킨,조선미녀,18000,4.6,3,2
C098,LossAverse,0.61,3,P0324,시카 파운데이션,코스알엑스,27000,4.6,1,2
